Bench,Compiler,Total Insns,JIT-code Insns
base64,baseline,14333601685,13955768672
base64,cranelift,19824693023,11824293005
base64,ion,10693299462,10043403632
box2d,baseline,14751262448,14324799377
box2d,cranelift,40921077935,10472728708
box2d,ion,9924718743,8494344944
bullet,baseline,16555807539,15545759656
bullet,cranelift,138077279012,12840580116
bullet,ion,15619603708,9636656524
conditionals,baseline,5580026252,5210574741
conditionals,cranelift,11016114967,6020910208
conditionals,ion,4637961452,4111119198
copy,baseline,9433432644,9065695330
copy,cranelift,16199674152,11128639575
copy,ion,8405264091,7878241851
corrections,baseline,9740949179,9372669962
corrections,cranelift,13653512070,8622104268
corrections,ion,6889096457,6362715264
fannkuch,baseline,38216341817,37811639873
fannkuch,cranelift,37981461995,29759488724
fannkuch,ion,19973094289,19289306284
fasta,baseline,11502683724,11091478883
fasta,cranelift,18753324689,10557850673
fasta,ion,7811900080,7125304710
havlak,baseline,6684083183,6292465057
havlak,cranelift,20489812663,5452010657
havlak,ion,4786842657,3903962180
ifs,baseline,1923471414,1555824936
ifs,cranelift,6382261844,1184954388
ifs,ion,1462528976,931393154
linpack_double.c,baseline,7492096730,7054712240
linpack_double.c,cranelift,15367581132,5972277152
linpack_double.c,ion,5471220163,4710424603
lua_binarytrees.c,baseline,50007154843,49288049104
lua_binarytrees.c,cranelift,119256067591,46758525783
lua_binarytrees.c,ion,40428898696,37086143438
lua_scimark.c,baseline,7620125401,6835294161
lua_scimark.c,cranelift,79120904122,6557398494
lua_scimark.c,ion,8635398736,5226516739
matrix_multiply,baseline,49053236009,48630380831
matrix_multiply,cranelift,53293059379,45419930307
matrix_multiply,ion,23103786849,22414296320
memops,baseline,26380316270,26007788888
memops,cranelift,36403211255,29363813694
memops,ion,17396363067,16780401130
primes,baseline,7565354546,7197161438
primes,cranelift,13474132151,8478649735
primes,ion,7365525172,6840132273
skinning,baseline,27169255997,26795695558
skinning,cranelift,19969049985,12640256758
skinning,ion,10606604172,9979393510
zlib.c,baseline,15402852888,14720479138
zlib.c,cranelift,42605320554,13498426748
zlib.c,ion,11321007651,9676438792
